station_code;name;latitude;longitude;capacity;is_installed;is_renting;is_returning;town
10041;Gare du Nord - La Chapelle;48.88417829;2.356105708;18;1;1;1;Paris
4012;Tiron - Rivoli;48.85569225;2.357905805;28;1;1;1;Paris
4007;Place de la Bastille - Bourdon;48.85236436;2.368108928;35;1;1;1;Paris
4101;Bastille - Beaumarchais;48.85383346;2.368570268;23;1;1;1;Paris
1012;Jean-Jacques Rousseau - Deux Ecus;48.86297806;2.341463529;22;1;1;1;Paris
4017;Place de l'Hôtel de Ville;48.8573314;2.351458;14;1;0;0;Paris
19130;Place Paul Delouvrier;48.89197621;2.385128886;26;1;1;1;Paris
42026;Barbès - Monique Maunoury;48.81552719;2.368716933;40;1;1;1;Ivry-sur-Seine
1025;Oratoire - Rivoli;48.86134276;2.340004742;18;1;1;1;Paris
2012;Choiseul - Quatre Septembre;48.86993553;2.335997522;44;1;1;1;Paris
22506;Gare des Vallées;48.913179;2.257726;20;1;1;1;La Garenne-Colombes
16044;Porte de Saint Cloud - Parc des Princes;48.83866276;2.252516448;32;1;1;1;Paris
13038;Choisy - Malmaisons;48.8219197;2.363346883;25;1;1;1;Paris
4015;Mairie du 4ème;48.85594991;2.35638231;44;1;1;1;Paris
12157;Fabre d'Eglantine - Place de la Nation;48.8471116;2.3956204;68;1;1;1;Paris
3004;Place de la République - Temple;48.8672112;2.363546437;18;1;1;1;Paris
2008;Mairie du 2ème;48.86721904;2.340462544;28;1;1;1;Paris
13054;Pau Casals - Neuve Tolbiac;48.8311602;2.3774395;53;1;1;1;Paris
1026;Place du Lieutenant Henri Karcher;48.86349087;2.340067104;30;1;1;1;Paris
2004;Square Pierre Lazareff;48.86714172;2.348393351;17;1;1;1;Paris
17106;Berthier - Porte de Clichy;48.89422269;2.312587201;24;1;1;1;Paris
35012;Candale - Mehul;48.8893935;2.414379716;25;1;1;1;Pantin
4018;Saint-Bon - Rivoli;48.85799964;2.350217281;19;1;1;1;Paris
18015;Custine - Ramey;48.8887359;2.346952669;41;1;1;1;Paris
1017;Saint-Honoré - 29 juillet;48.86557114;2.330567418;20;1;1;1;Paris
